TITRE,ARTISTE,DUREE,URL,STYLE,SUBSTYLE,DIR,ID 
Mental 1Fra 163 BPM,Vandal,29:29:00,https://www.mixcloud.com/5KRADIOLIVE/vandalll-mental-1fra-163-bpm/,TECHNO,MENTAL,BD5KRADIO/mental163/mental163,0
What a feeling,Pivi,34:02:00,https://www.mixcloud.com/5KRADIOLIVE/what-a-feeling/,ALTERNATIVE,INDIE,BD5KRADIO/whatAFeel/whatAFeel,1
Back to Back,Zzz,44:01:00,https://www.mixcloud.com/5KRADIOLIVE/back-to-back-zzz/,RAP,TRAP,BD5KRADIO/back2back/back2back,2
Feel da Phonk vol.1 : Back to 90s Memphis,BEAT&COOT0,01:21:12,https://www.mixcloud.com/5KRADIOLIVE/feel-da-phonk-vol1-back-to-90s-memphis/,RAP,PHONK,BD5KRADIO/feelDaPhonk/feelDaPhonk,3
Hardtek,Vandal,01:09:25,https://www.mixcloud.com/5KRADIOLIVE/vandal-hardtek/,TECHNO,HARDTEK,BD5KRADIO/hardtek/hardtek,4
Sonideros sound,Vandal,01:01:48,https://www.mixcloud.com/5KRADIOLIVE/vandal-sondieros-sound/,LATIN,SALSA,BD5KRADIO/sondieros/sondieros,5
Reggaeton & rap,BEAT&COOT03,01:03:31,https://www.mixcloud.com/5KRADIOLIVE/mage-reggaeton-rap/,LATIN,REGGAETON,BD5KRADIO/rapAndReggaeton/rapAndReggaeton,6
Hardcore Invazion,Vandal,55:05:00,https://www.mixcloud.com/5KRADIOLIVE/vandal-hardcore-invazion/,TECHNO,HARDCORE,BD5KRADIO/coreInvazion/coreInvazion,7
Spécial Hip-Hip pour la ferme de l'ilôt,BEAT&COOT0 & MGBZZ,01:13:33,https://www.mixcloud.com/5KRADIOLIVE/special-hip-hop-pour-la-ferme-de-lilot-mgbzzxbtct/,RAP,OLDSCHOOL,BD5KRADIO/hiphopFerme/hiphopFerme,8
Peinard,BEAT&COOT0,01:33:08,https://www.mixcloud.com/5KRADIOLIVE/peinard-dj-beatc00to-2021/,MIX,CHILL,BD5KRADIO/peinard/peinard,9
Freestyle.II,MGBZZ,59:23:00,https://www.mixcloud.com/5KRADIOLIVE/mgbzz-freestyleii/,MIX,null,BD5KRADIO/freestyleII/freestyleII,10
The Paris Oddities,Gloomy,37:44:00,https://www.mixcloud.com/5KRADIOLIVE/gloomy-the-paris-oddities/,POP,HAZEPOP,BD5KRADIO/parisOdd/parisOdd,11
Cult Girlfriend,Pivi,01:23:01,https://www.mixcloud.com/5KRADIOLIVE/pivi-cult-girlfriend/,ALTERNATIVE,INDIE,BD5KRADIO/cultGf/cultGf,12
Trajet II,Vandal,59:04:00,https://www.mixcloud.com/5KRADIOLIVE/vandal-trajet-ii/,MIX,null,BD5KRADIO/trajetII/trajetII,13
What's in my head,Mage,56:44:00,https://www.mixcloud.com/5KRADIOLIVE/mage-whats-in-my-head/,ROCK,PSYCHDELIC,BD5KRADIO/myHead/myHead,14
Pournima Dhumale,Pivi,55:51:00,https://www.mixcloud.com/5KRADIOLIVE/raag-bheem-pourniama-dhumale-dj-ez/,RAAG,BHEEM,BD5KRADIO/pournima/pournima,15
420',BEAT&COOT0 & MGBZZ,01:00:00,https://www.mixcloud.com/5KRADIOLIVE/420-beatcoot0-x-mgbzz/,MIX,CHILL,BD5KRADIO/420/420,16
Fleurs Fanées vol.IV,Vandal,01:06:48,https://www.mixcloud.com/5KRADIOLIVE/fleurs-fanees-voliv/,RAP,OLDSCHOOL,BD5KRADIO/fleursFaneesIV/fleursFaneesIV,17
Monsieur Jack,Vandal,01:03:23,https://www.mixcloud.com/5KRADIOLIVE/monsieur-jack-par-dj-vandal/,TECHNO,null,BD5KRADIO/monsieurJack/monsieurJack,18
Cxld Chrxstmxs,BEAT&COOT0,01:00:26,https://www.mixcloud.com/5KRADIOLIVE/cxld-chrxstmxs-par-btct/,ALTERNATIVE,COLDWAVE,BD5KRADIO/cxldChrxstmxs/cxldChrxstmxs,19
Sweet Dreams,MGBZZ,01:07:48,https://www.mixcloud.com/5KRADIOLIVE/sweet-dreams-par-mgbzz/,TECHNO,CHILL,BD5KRADIO/sweetDream/sweetDream,20
Champotek,BEAT&COOT0 &MGBZZ,02:14:09,https://www.mixcloud.com/5KRADIOLIVE/champotek-par-mgbzz/,TECHNO,ACID,BD5KRADIO/champotek/champotek,21
FREESTYLE,MGBZZ,01:00:54,https://www.mixcloud.com/5KRADIOLIVE/freestyle-par-mgbzz/,MIX,CHILL,BD5KRADIO/freestyle/freestyle,22
Balance tes sons,BEAT&COOT0,31:02:00,https://www.mixcloud.com/5KRADIOLIVE/balances-tes-sons-par-btct/,ROCK,PSYCHDELIC,BD5KRADIO/balance/balance,23
L part.III,BEAT&COOT0 & MGBZZ,01:01:01,https://www.mixcloud.com/5KRADIOLIVE/l-partiii-mgbz-x-btct/,MIX,CHILL,BD5KRADIO/lpIII/lpIII,24
Supertra(m)p,Zzz,59:44:00,https://www.mixcloud.com/5KRADIOLIVE/supertrans-by-dj-ez/,RAP,TRAP,BD5KRADIO/supertramp/supertramp,25
Flying,MGBZZ,56:14:00,https://www.mixcloud.com/5KRADIOLIVE/flying-dj-mgbzz/,MIX,CHILL,BD5KRADIO/flying/flying,26
23 Tribes,Vandal,01:01:39,https://www.mixcloud.com/5KRADIOLIVE/23-tribes-by-dj-vandal/,TECHNO,TRIBE,BD5KRADIO/23tribes/23tribes,27
