TITRE,ARTISTE,DUREE,URL,STYLE,SUBSTYLE,DIR
"Samedi 11h43, batteries sur secteur ",BEAT&COOT0,01:02:41,https://www.mixcloud.com/5KRADIOLIVE/samedi-11h43-batteries-sur-secteur-by-dj-beatc00t0/,MIX,CHILL,BD5KRADIO/samediBatterie
Special 5K RADIO,Ghernati,01:01:19,https://www.mixcloud.com/5KRADIOLIVE/special-podcast-for-5k-radio-paris-by-ghernati/,TECHNO,DEEP,BD5KRADIO/ghernati
Lowtimes,MGBZZ  & BRUSS,59:35:00,https://www.mixcloud.com/5KRADIOLIVE/lowtimes-dj-bruss-x-dj-mgbzz/,MIX,CHILL,BD5KRADIO/lowTimes
Tech me somewhere fun,Likma,01:29:11,https://www.mixcloud.com/5KRADIOLIVE/tech-me-somewhere-fun-by-dj-likma/,TECHNO ,null,BD5KRADIO/techMe
Needing ... change,Zzz,01:33:24,https://www.mixcloud.com/5KRADIOLIVE/phases/,MIX,CHILL,BD5KRADIO/needingChange 
Souvenirs d'enfance vol.II,MGBZZ ,59:59:00,https://www.mixcloud.com/5KRADIOLIVE/souvenir-denfance-volii-ou-un-dimanche-sous-la-pluie-by-dj-mgbzz/,MIX,CHILL,BD5KRADIO/souvenirII
Souvenirs d'enfance vol.I,MGBZZ,01:30:10,https://www.mixcloud.com/5KRADIOLIVE/souvenirs-denfance-voli-ou-un-dimanche-sous-la-couette-by-dj-mgbzz/,MIX ,CHILL,BD5KRADIO/souvenirI
Eclektik vol.I,BEAT&COOT0 ,01:01:21,https://www.mixcloud.com/5KRADIOLIVE/eclectik-voli-by-dj-beatcoot0/,MIX,CHILL,BD5KRADIO/eclektikI
Mall Goth,Pivi,01:04:32,https://www.mixcloud.com/5KRADIOLIVE/mall-goth-by-dj-ez/,ROCK,GOTHIC,BD5KRADIO/mallGoth
Désordre Mental n°23,Vandal,01:11:29,https://www.mixcloud.com/5KRADIOLIVE/desordre-mental-n3-by-dj-vandal/,TECHNO,MENTAL,BD5KRADIO/desordreMental23
Voices against apartheid,BEAT&COOT0,59:28:00,https://www.mixcloud.com/5KRADIOLIVE/voices-against-apartheid-by-dj-beatcoot0/,POLITICS,SOUTH AFRICA,BD5KRADIO/voixContre
WALKA,MGBZZ,01:00:20,https://www.mixcloud.com/5KRADIOLIVE/walka-by-dj-mgbzz/,MIX,EAST EUROPE,BD5KRADIO/walka
V2LS 2016 ,Zzz,57:52:00,https://www.mixcloud.com/5KRADIOLIVE/v2ls-2016-dj-ez/,RAP,OLDSCHOOL,BD5KRADIO/v2ls16
No technicality,Zzz,59:18:00,https://www.mixcloud.com/5KRADIOLIVE/no-technicality-dj-ez/,RAP,TRAP,BD5KRADIO/noTech 
UNDERGROUND RESISTANCE,BEAT&COOT0,01:00:12,https://www.mixcloud.com/5KRADIOLIVE/underground-resistance-detroits-second-techno-wave/,TECHNO,DETROIT,BD5KRADIO/ur
L part.II,BEAT&COOT0 & MGBZZ,59:31:00,https://www.mixcloud.com/5KRADIOLIVE/l-partii/,MIX,CHILL,BD5KRADIO/lpII 
Fleurs fanées,Vandal,01:07:18,https://www.mixcloud.com/5KRADIOLIVE/fleurs-fanees-by-dj-vandal/,RAP,OLDSCHOOL,BD5KRADIO/fleursFanees 
Zamrock,BEAT&COOT0,01:00:28,https://www.mixcloud.com/5KRADIOLIVE/zamrock-by-dj-beatscoot0/,ROCK,ZAMBIA,BD5KRADIO/zamrock
Aléatoire vol.III,Zzz,01:03:28,https://www.mixcloud.com/5KRADIOLIVE/aleatoire-voliii-by-dj-zzz/,RAP,ARABIC,BD5KRADIO/aleIII
Trajet,Vandal,01:52:45,https://www.mixcloud.com/5KRADIOLIVE/trajet/,MIX,CHILL,BD5KRADIO/trajet
L part.I,BEAT&COOT0 & MGBZZ,01:04:42,https://www.mixcloud.com/5KRADIOLIVE/l-part-1-dj-mgbz-x-dj-beatcoot0/,MIX,CHILL,BD5KRADIO/lpI
Objectif Lune,MGBZZ,01:15:43,https://www.mixcloud.com/5KRADIOLIVE/objectif-lune/,TECHNO,CHILL,BD5KRADIO/objectifLune
On shuffle,Zzz,01:00:32,https://www.mixcloud.com/5KRADIOLIVE/on-shuffle-special-middle-east-x-india-bengal-rap-by-dj-zzz/,MIX ,ARABIC,BD5KRADIO/shuffle
SSHHLLWWTRBZ,BEAT&COOT0 ,01:31:02,https://www.mixcloud.com/5KRADIOLIVE/sshhllwwtrbz/,RAP,SESH,BD5KRADIO/sshllwtrbz
Sémiramis,Vandal,01:08:30,https://www.mixcloud.com/5KRADIOLIVE/semiramis-by-dj-vandal/,TECHNO,null,BD5KRADIO/semiramis
LONDON BURNIN',BEAT&COOT0,01:00:22,https://www.mixcloud.com/5KRADIOLIVE/london-burnin/,RAP,GRIME,BD5KRADIO/londonBurnin
American Beauty,Pivi,53:48:00,https://www.mixcloud.com/5KRADIOLIVE/american-beauty/,ALTERNATIVE,INDIE,BD5KRADIO/americanBeauty
From East to West ,ZALIE &  NOP,01:00:29,https://www.mixcloud.com/5KRADIOLIVE/from-east-to-west-classic-hiphop/,RAP,OLDSCHOOL,BD5KRADIO/eastToWest 
Shoegazer,FONDU & TRANSI,42:58:00,https://www.mixcloud.com/5KRADIOLIVE/shoegazer-par-djfondu-et-djtransi/,ROCK,SHOEGAZE,BD5KRADIO/shoegazer 
SIAK,Zzz,01:00:29,https://www.mixcloud.com/5KRADIOLIVE/siak/,MIX,CHILL,BD5KRADIO/siak 
Rap oldschool,Vandal,59:07:00,https://www.mixcloud.com/5KRADIOLIVE/rap-oldschool-by-djvandal/,RAP,OLDSCHOOL,BD5KRADIO/rapOldschool
Nueve Uno,BEAT&COOT0,01:00:21,https://www.mixcloud.com/5KRADIOLIVE/nueve-uno/,RAP,FRENCH,BD5KRADIO/nueveUno
Staff Benda Billili,MGBZZ,N/A,N/A,CHILL,N/A,BD5KRADIO/staff
Berlin Entrance,Vandal,N/A,N/A,TECHNO,N/A,BD5KRADIO/berlinEntrance
Et ça galope,Vandal,N/A,N/A,TECHNO,N/A,BD5KRADIO/caGalope
